"id","plan_id","maintain_level","time","unit","check_content","check_remark","remark","del_flag","create_id","create_name","create_time","update_id","update_name","update_time"
"47","22","0","1","2","1test","","","1","1","管理员","24/6/2020 13:52:49","1","管理员","24/6/2020 13:52:49"
"48","23","2","10000","0","1、检查模具的定位圈、限位开关、热流道和接线器、模具铭牌、锁模块、计数器、水管和水接头等；
2、包含一级保养；顶针及顶针孔清理；检查顶针板有无变形弯曲；顶针与顶针孔配合是否正常；导柱导套配合是否正常；复位弹簧和紧固螺丝损坏更换（螺牙深度磨损超出30%、复位弹簧螺丝复位长度小于原长度的85%）；模具水路检查；清理排气槽杂物；热流道加热圈和感温线检查；热流道漏胶检查；保证模具各部件无油、无锈、无水迹、无胶质和无杂物；
3、更换损坏和缺少的零件；
4、检查热流道射口处的成型损伤状况。","每1万模次做一次2级保养","","0","1","管理员","14/10/2020 15:53:09","1","管理员","7/3/2023 09:18:16"
"49","23","3","60000","0","1、检查模具的定位圈、限位开关、 热流道和接线器、模具铭牌、锁模块、计数器、水管和水接头等；
2、包含一级保养和二级保养；顶针及顶针孔清理；检查顶针板有无变形弯曲；顶针与顶针孔配合是否正常；导柱导套配合是否正常；复位弹簧和紧固螺丝损坏更换（螺牙深度磨损超出30%、复位弹簧螺丝复位长度小于原长度的85%）；模具水路检查；清理排气槽杂物；检查热流道系统；保证模具各部件无油、无锈、无水迹、无胶质和无杂物；
3、更换损坏和缺少的零件；
4、检查热流道射口处的成型损伤状况","每6万模次做一次3级保养","","0","1","管理员","14/10/2020 15:56:02","1","管理员","14/10/2020 15:56:02"
"50","23","6","1000000","0","模具寿命到期","累计100万模次显示6级保养","","1","1","管理员","14/10/2020 15:58:01","1","管理员","14/10/2020 15:58:01"
"51","23","6","1000000","0","模具寿命到期","累计100万模次显示6级保养","","0","1","管理员","14/10/2020 16:16:15","1","管理员","14/10/2020 16:16:15"
"52","24","2","20000","0","1、检查模具的定位圈、限位开关、热流道和接线器、模具铭牌、锁模块、计数器、水管和水接头等；
2、包含一级保养；顶针及顶针孔清理；检查顶针板有无变形弯曲；顶针与顶针孔配合是否正常；导柱导套配合是否正常；复位弹簧和紧固螺丝损坏更换（螺牙深度磨损超出30%、复位弹簧螺丝复位长度小于原长度的85%）；模具水路检查；清理排气槽杂物；热流道加热圈和感温线检查；热流道漏胶检查；保证模具各部件无油、无锈、无水迹、无胶质和无杂物；
3、更换损坏和缺少的零件。","每2万模次做一次2级保养","","0","1","管理员","14/10/2020 16:28:31","1","管理员","14/10/2020 16:28:31"
"53","24","3","80000","0","1、检查模具的定位圈、限位开关、 热流道和接线器、模具铭牌、锁模块、计数器、水管和水接头等；
2、包含一级保养和二级保养；顶针及顶针孔清理；检查顶针板有无变形弯曲；顶针与顶针孔配合是否正常；导柱导套配合是否正常；复位弹簧和紧固螺丝损坏更换（螺牙深度磨损超出30%、复位弹簧螺丝复位长度小于原长度的85%）；模具水路检查；清理排气槽杂物；检查热流道系统；保证模具各部件无油、无锈、无水迹、无胶质和无杂物； 
3、更换损坏和缺少的零件。","每8万模次做一次3级保养","","0","1","管理员","14/10/2020 16:43:25","1","管理员","14/10/2020 16:43:25"
"54","24","6","1000000","0","模具寿命到期","累计100万模次显示6级保养","","0","1","管理员","14/10/2020 16:46:43","1","管理员","14/10/2020 16:47:03"
"55","25","1","50000","0","解体保养","每5万模次做一次1级解体保养","","0","1","管理员","23/10/2020 09:37:30","1","管理员","23/10/2020 09:38:10"
"56","25","6","1000000","0","模具寿命到期","累计100万模次显示6级保养","","0","1","管理员","23/10/2020 09:39:32","1","管理员","23/10/2020 09:39:32"
"57","26","2","20000","0","1、检查模具的定位圈、限位开关、热流道和接线器、模具铭牌、锁模块、计数器、水管和水接头等；
2、包含一级保养；顶针及顶针孔清理；检查顶针板有无变形弯曲；顶针与顶针孔配合是否正常；导柱导套配合是否正常；复位弹簧和紧固螺丝损坏更换（螺牙深度磨损超出30%、复位弹簧螺丝复位长度小于原长度的85%）；模具水路检查；清理排气槽杂物；热流道加热圈和感温线检查；热流道漏胶检查；保证模具各部件无油、无锈、无水迹、无胶质和无杂物；
3、更换损坏和缺少的零件。","每2万模次做一次2级保养","","0","1","管理员","23/10/2020 09:42:12","1","管理员","23/10/2020 09:42:12"
"58","26","3","60000","0","1、检查模具的定位圈、限位开关、 热流道和接线器、模具铭牌、锁模块、计数器、水管和水接头等；
2、包含一级保养和二级保养；顶针及顶针孔清理；检查顶针板有无变形弯曲；顶针与顶针孔配合是否正常；导柱导套配合是否正常；复位弹簧和紧固螺丝损坏更换（螺牙深度磨损超出30%、复位弹簧螺丝复位长度小于原长度的85%）；模具水路检查；清理排气槽杂物；检查热流道系统；保证模具各部件无油、无锈、无水迹、无胶质和无杂物； 
3、更换损坏和缺少的零件。","每6万模次做一次3级保养","","0","1","管理员","23/10/2020 09:43:34","1","管理员","23/10/2020 09:43:34"
"59","26","6","1000000","0","模具寿命到期","累计100万模次显示6级保养","","0","1","管理员","23/10/2020 09:44:25","1","管理员","23/10/2020 09:44:25"
"60","27","3","1","1","1、检查模具的定位圈、限位开关、 热流道和接线器、模具铭牌、锁模块、计数器、水管和水接头等；
2、包含一级保养和二级保养；顶针及顶针孔清理；检查顶针板有无变形弯曲；顶针与顶针孔配合是否正常；导柱导套配合是否正常；复位弹簧和紧固螺丝损坏更换（螺牙深度磨损超出30%、复位弹簧螺丝复位长度小于原长度的85%）；模具水路检查；清理排气槽杂物；检查热流道系统；保证模具各部件无油、无锈、无水迹、无胶质和无杂物； 
3、更换损坏和缺少的零件。","不常用模具1年触发一次3级保养。","","0","1","管理员","23/10/2020 09:47:22","1","管理员","23/10/2020 09:47:22"
